Trial Name ,Replicate #,Day,Arena,"Trial length (hours, pasted values)",Mouse ID,Mouse treatment,Mouse sex,BLT added to sock,Initial BLT (assumed on mouse; post sock infestation),Final BLT (# of ticks found on mouse),BLT % tick attachment,BLT_EAR,BLT_NOSE,BLT_EYES,BLT_CHIN,BLT_NECK,BLT_BACK,BLT_FACE,BLT_ARMS,BLT_TAIL,GCT added to sock,Initial GCT (assumed on mouse; post sock infestation),Final GCT (# of ticks found on mouse),GCT % tick attachment,GCT_NOSE,GCT_EARS,GCT_EYES,GCT_FACE,GCT_TOES,GCT_NECK,GCT_BACK,Distance moved (cm),Groom Freq (# of times grooming),Groom Cumulative Duration (sec),Proportion of Time Grooming,Groom Cumulative Duration (hours),Groom freq per hour (# of separate grooming bouts per hour),Percent time grooming,NOTES,BLT TICK SOURCE,GCT TICK SOURCE
1,1,0,1,22.50,DB233,CONTROL,M,0,,,,,,,,,,,,,0,,,,,,,,,,,252769,558,9240.57,0.114081111,2.57,24.80,10.35,,OK,OK
1,1,0,2,22.50,DB232,GCT,M,0,,,,,,,,,,,,,30,12,3,,,3,,,,,,45604.6,855,20742.8,0.256083951,5.76,38.00,15.16,,OK,OK
1,1,0,3,22.50,DB231,BLT,M,30,6,0,0.00%,,,,,,,,,,0.00,,,,,,,,,,,59206.1,537,11684.4,0.144251852,3.25,23.87,13.60,,OK,OK
1,1,0,4,22.50,BD251,BLTxGCT,M,15,2,0,0.00%,,,,,,,,,,15,11,4,36.36%,,3,,,1,,,37342.7,255,4674.54,0.05771037,1.30,11.33,11.46,,OK,OK
2,1,1,1,22.50,DB233,CONTROL,M,0,,,,,,,,,,,,,0,,,,,,,,,,,129250,451,9715.38,0.119942963,2.70,20.04,13.46,,OK,OK
2,1,1,2,22.50,DB232,GCT,M,0,,,,,,,,,,,,,30,12,3,,,3,,,,,,34566.1,640,12959.8,0.159997531,3.60,28.44,12.66,,OK,OK
2,1,1,3,22.50,DB231,BLT,M,30,6,0,0.00%,,,,,,,,,,0.00,,,,,,,,,,,24164.5,435,8982.82,0.110899012,2.50,19.33,12.91,,OK,OK
2,1,1,4,22.50,BD251,BLTxGCT,M,15,2,0,,,,,,,,,,,15,11,4,36.36%,,3,,,1,,,21732,389,8346.38,0.103041728,2.32,17.29,13.41,,OK,OK
3,1,2,1,23.25,DB233,CONTROL,M,0,,,,,,,,,,,,,0,,,,,,,,,,,154468,824,13420.8,0.160344086,3.73,35.44,10.52,,OK,OK
3,1,2,2,23.25,DB232,GCT,M,0,,,,,,,,,,,,,30,12,3,,,3,,,,,,33604,531,11320.7,0.135253286,3.14,22.84,13.77,,OK,OK
